libName,libCode
가락몰도서관,111456
가온도서관,111108
갈산도서관,111463
강남구립개포하늘꿈도서관,111526
강남구립논현도서관,111070
강남구립논현문화마루도서관,111533
강남구립대치도서관,111039
강남구립도곡정보문화도서관,111347
강남구립못골도서관,111479
강남구립못골한옥어린이도서관,111474
강남구립역삼도서관,111103
강남구립역삼푸른솔도서관,111127
강남구립열린도서관,711265
강남구립일원라온영어도서관,111518
강남구립정다운도서관,111073
강남구립즐거운도서관,111056
강남구립청담도서관,111069
강남구립행복한도서관,111075
강동구립강동숲속도서관,111546
강동구립강동중앙도서관,111549
강동구립강일도서관,111125
강동구립둔촌도서관,111501
강동구립성내도서관,111078
강동구립암사도서관,111176
강동구립천호도서관,111470
강동구립해공도서관,111101
강북문화정보도서관,111037
강북청소년문화정보도서관,111038
강서구립가양도서관,111453
강서구립곰달래도서관,111378
강서구립길꽃어린이도서관,111067
강서구립꿈꾸는어린이도서관,111098
강서구립등빛도서관,111309
강서구립우장산숲속도서관,111118
강서구립푸른들청소년도서관,111097
강서영어도서관,111373
개봉도서관,111216
개울건강도서관,111240
거마도서관,111049
공릉행복도서관,111512
관악중앙도서관,111045
광진어린이영어도서관,111537
광진정보도서관,111036
구로기적의도서관,111489
구로꿈나무어린이도서관,111099
구립구산동도서관마을,111458
구립내를건너서숲으로도서관,111482
구립상림도서관,111126
구립은뜨락도서관,111491
구립은평뉴타운도서관,111452
구립응암정보도서관,111124
구립증산정보도서관,111110
구의제3동도서관,111305
군자동도서관,111521
궁동어린이도서관,111471
글마루한옥어린이도서관,111235
글빛도서관,111500
글빛정보도서관,111062
금천구립가산도서관,111077
금천구립금나래도서관,111113
금천구립독산도서관,111040
금천구립시흥도서관,111434
김근태기념도서관,111515
김영삼도서관,111502
까망돌도서관,111516
꿈마을도서관,111100
남가좌새롬어린이도서관,111179
남산타운어린이도서관,111180
노원어린이도서관,111047
노원중앙도서관,111058
다산성곽도서관,111513
달빛마루도서관,111302
대림도서관,111083
대방어린이도서관,111443
도봉구립무수골도서관,111208
도봉구립학마을도서관,111129
도봉기적의도서관,111457
도봉문화정보도서관,111041
도봉아이나라도서관,111189
돌마리도서관,111448
동대문구답십리도서관,111445
동대문구정보화도서관,111065
동대문책마당도서관,711427
동작영어마루도서관,111102
둘리도서관,111454
마포서강도서관,111086
마포소금나루도서관,111514
마포중앙도서관,111467
마포푸르메어린이도서관,111462
목마교육도서관,111242
문래도서관,111111
미감도서관,111480
미아문화정보도서관,111383
방배도서관,111236
방아다리문학도서관,711359
배봉산숲속도서관,111490
불암도서관,111485
사당솔밭도서관,111439
삼각산어린이도서관,111465
상계도서관,111307
서대문구립이진아기념도서관,111051
서울도서관,111314
서울특별시교육청강남도서관,111003
서울특별시교육청강동도서관,111004
서울특별시교육청강서도서관,111005
서울특별시교육청강서도서관가양관,111548
서울특별시교육청개포도서관,111006
서울특별시교육청고덕평생학습관,111007
서울특별시교육청고척도서관,111008
서울특별시교육청구로도서관,111009
서울특별시교육청남산도서관,111010
서울특별시교육청노원평생학습관,111022
서울특별시교육청도봉도서관,111011
서울특별시교육청동대문도서관,111012
서울특별시교육청동작도서관,111013
서울특별시교육청마포평생학습관,111014
서울특별시교육청마포평생학습관아현분관,111031
서울특별시교육청서대문도서관,111016
서울특별시교육청서울시립어린이도서관,111017
서울특별시교육청송파도서관,111030
서울특별시교육청양천도서관,111015
서울특별시교육청영등포평생학습관,111018
서울특별시교육청용산도서관,111019
서울특별시교육청정독도서관,111020
서울특별시교육청종로도서관,111021
서이도서관,111466
서초구립내곡도서관,111476
서초구립반포도서관,111377
서초구립방배숲환경도서관,111531
서초구립양재도서관,111493
서초그림책도서관,111477
서초청소년도서관,111503
석관동미리내도서관,111301
선유도서관,111121
성동구립금호도서관,111068
성동구립매봉산숲속도서관,111499
성동구립무지개도서관,111119
성동구립성수도서관,111344
성동구립용답도서관,111076
성동구립청계도서관,111442
성동구립도서관,111035
성북길빛도서관,111487
성북정보도서관,111044
성현동작은도서관,111063
소나무언덕2호작은도서관,111114
소나무언덕3호작은도서관,111173
소나무언덕잠실본동도서관,111191
손기정문화도서관,111517
손기정어린이도서관,111498
솔샘문화정보도서관,111052
송중문화정보도서관,111174
송파글마루도서관,111435
송파어린이도서관,111117
송파어린이영어작은도서관,111259
송파위례도서관,111472
수유문화정보도서관,111182
신길도서관,111550
신당누리도서관,111511
신월음악도서관,111081
쌍문채움도서관,111496
아리랑도서관,111048
아리랑어린이도서관,111468
아차산숲속도서관,111523
약수도서관,111107
양천중앙도서관,111504
어울림도서관,111220
여의샛강도서관,111444
영등포생각공장도서관,111530
영어특성화도서관,111461
온누리도서관,111128
용산꿈나무도서관,111473
원당마을한옥도서관,111524
원지공원도서관,111536
월계도서관,111085
월계어린이도서관,111484
월곡꿈그림도서관,111464
은천동작은도서관,111160
은평구립도서관,111042
자양제4동도서관,111115
자양한강도서관,111495
잠원도서관,111140
장안어린이도서관,111303
장위행복누림도서관,111492
정릉도서관,111380
제기동감초마을현진건기념도서관,111534
조원도서관,111192
종암동새날도서관,111188
중곡문화체육센터도서관,111116
중랑구립면목정보도서관,111060
중랑구립상봉도서관,111488
중랑구립양원숲속도서관,111478
중랑구립정보도서관,111034
중랑숲어린이도서관,111311
청수도서관,111437
청파도서관,111120
하계어린이도서관,111519
하늘도서관,111215
한내지혜의숲도서관,141619
해맞이역사도서관,111481
해오름도서관,111123
향기나무도서관,741562
홍은도담도서관,111252
화랑도서관,111239
휘경어린이도서관,111446
휘경행복도서관,111522
